Node,Centrality Type,Score
中国,Degree Centrality,0.7913000977517106
热爱,Degree Centrality,0.3602150537634409
人民,Degree Centrality,0.844574780058651
伟大领袖,Degree Centrality,0.3035190615835777
毛主席,Degree Centrality,0.8040078201368523
毛泽东思想,Degree Centrality,0.6979472140762464
深厚,Degree Centrality,0.23900293255131966
感情,Degree Centrality,0.36070381231671556
政府,Degree Centrality,0.5957966764418378
毛泽东,Degree Centrality,0.5948191593352884
主席,Degree Centrality,0.5459433040078201
领袖,Degree Centrality,0.3455522971652004
不到,Degree Centrality,0.3455522971652004
时间,Degree Centrality,0.5376344086021505
建成,Degree Centrality,0.1959921798631476
强大,Degree Centrality,0.3870967741935484
国家,Degree Centrality,0.7605083088954057
支持,Degree Centrality,0.583088954056696
帝国主义,Degree Centrality,0.5615835777126099
斗争,Degree Centrality,0.7541544477028348
代表,Degree Centrality,0.6627565982404692
人类,Degree Centrality,0.25806451612903225
希望,Degree Centrality,0.48289345063538613
非洲,Degree Centrality,0.4071358748778104
榜样,Degree Centrality,0.34995112414467255
新闻,Degree Centrality,0.34017595307917886
工作者,Degree Centrality,0.4315738025415445
新华社,Degree Centrality,0.6520039100684262
记者,Degree Centrality,0.489247311827957
著作,Degree Centrality,0.6436950146627566
文章,Degree Centrality,0.5454545454545454
革命,Degree Centrality,0.8264907135874878
真理,Degree Centrality,0.3260019550342131
教导,Degree Centrality,0.49560117302052786
开罗,Degree Centrality,0.14467253176930597
学习,Degree Centrality,0.7033235581622679
找到,Degree Centrality,0.3333333333333333
地区,Degree Centrality,0.6485826001955034
分析,Degree Centrality,0.3563049853372434
国际,Degree Centrality,0.5112414467253177
热烈,Degree Centrality,0.4833822091886608
赞扬,Degree Centrality,0.3939393939393939
坚定,Degree Centrality,0.3304007820136852
立场,Degree Centrality,0.3885630498533724
世界,Degree Centrality,0.6710654936461388
革命斗争,Degree Centrality,0.3592375366568915
充满,Degree Centrality,0.32160312805474095
精神,Degree Centrality,0.6524926686217009
解放,Degree Centrality,0.5019550342130987
经验,Degree Centrality,0.572336265884653
柬埔寨,Degree Centrality,0.3993157380254154
男女,Degree Centrality,0.1739980449657869
北京,Degree Centrality,0.5796676441837733
观众,Degree Centrality,0.3357771260997067
比赛,Degree Centrality,0.2668621700879765
友好,Degree Centrality,0.40078201368523947
气氛,Degree Centrality,0.2233626588465298
胜利,Degree Centrality,0.6451612903225806
离开,Degree Centrality,0.4125122189638319
沈阳,Degree Centrality,0.1852394916911046
访问,Degree Centrality,0.4946236559139785
中华人民共和国,Degree Centrality,0.3939393939393939
大使馆,Degree Centrality,0.19550342130987292
法国,Degree Centrality,0.3602150537634409
瑞典,Degree Centrality,0.08797653958944282
招待会,Degree Centrality,0.2380254154447703
庆祝,Degree Centrality,0.22434017595307917
中国人民解放军,Degree Centrality,0.25219941348973607
官员,Degree Centrality,0.2238514173998045
军官,Degree Centrality,0.18914956011730205
出席,Degree Centrality,0.3250244379276637
共有,Degree Centrality,0.12365591397849462
参加,Degree Centrality,0.7248289345063539
海军,Degree Centrality,0.1827956989247312
武装部队,Degree Centrality,0.19648093841642228
大使,Degree Centrality,0.25806451612903225
部长,Degree Centrality,0.2781036168132942
本报讯,Degree Centrality,0.08895405669599218
全体,Degree Centrality,0.47702834799608995
指战员,Degree Centrality,0.29716520039100686
欢呼,Degree Centrality,0.3020527859237537
公报,Degree Centrality,0.34359726295210163
衷心,Degree Centrality,0.19403714565004887
拥护,Degree Centrality,0.26099706744868034
执行,Degree Centrality,0.47653958944281527
宣传,Degree Centrality,0.5048875855327468
勇敢,Degree Centrality,0.30547409579667645
捍卫,Degree Centrality,0.20967741935483872
历史,Degree Centrality,0.5615835777126099
意义,Degree Centrality,0.4726295210166178
公布,Degree Centrality,0.18084066471163246
全军,Degree Centrality,0.15004887585532747
部队,Degree Centrality,0.5508308895405669
祖国,Degree Centrality,0.4726295210166178
机关,Degree Centrality,0.34701857282502446
连队,Degree Centrality,0.29423264907135877
单位,Degree Centrality,0.4941348973607038
伟大胜利,Degree Centrality,0.2517106549364614
中国共产党,Degree Centrality,0.41642228739002934
会议,Degree Centrality,0.6471163245356794
南京,Degree Centrality,0.15933528836754643
成都,Degree Centrality,0.0967741935483871
领导,Degree Centrality,0.7326490713587488
讨论,Degree Centrality,0.5381231671554252
做出,Degree Centrality,0.25219941348973607
广州,Degree Centrality,0.25317693059628543
节目,Degree Centrality,0.2233626588465298
工农兵,Degree Centrality,0.44379276637341153
群众,Degree Centrality,0.7570869990224829
听到,Degree Centrality,0.3602150537634409
广播,Degree Centrality,0.2458455522971652
新疆,Degree Centrality,0.14516129032258066
积极分子,Degree Centrality,0.24682306940371457
政治,Degree Centrality,0.70772238514174
生活,Degree Centrality,0.6158357771260997
事件,Degree Centrality,0.3206256109481916
热情,Degree Centrality,0.4555229716520039
体现,Degree Centrality,0.2546432062561095
全党,Degree Centrality,0.1217008797653959
意志,Degree Centrality,0.23851417399804498
表达,Degree Centrality,0.2673509286412512
光辉,Degree Centrality,0.40175953079178883
社会主义,Degree Centrality,0.7150537634408602
阶段,Degree Centrality,0.32453567937438904
全民,Degree Centrality,0.1793743890518084
指示,Degree Centrality,0.5004887585532747
修正主义,Degree Centrality,0.5698924731182796
反动派,Degree Centrality,0.45698924731182794
称为,Degree Centrality,0.15786901270772238
儿子,Degree Centrality,0.18572825024437928
优秀,Degree Centrality,0.21994134897360704
干部,Degree Centrality,0.6099706744868035
影响,Degree Centrality,0.4970674486803519
同志,Degree Centrality,0.7746823069403714
贯彻,Degree Centrality,0.29765395894428154
文化大革命,Degree Centrality,0.5356793743890518
高潮,Degree Centrality,0.2991202346041056
思想,Degree Centrality,0.6842619745845552
革命化,Degree Centrality,0.42130987292277616
建设,Degree Centrality,0.6270772238514174
战线,Degree Centrality,0.36852394916911047
大跃进,Degree Centrality,0.20039100684261973
提出,Degree Centrality,0.6529814271749755
全国,Degree Centrality,0.6373411534701857
解放军,Degree Centrality,0.44868035190615835
党中央,Degree Centrality,0.4095796676441838
我军,Degree Centrality,0.23851417399804498
鼓舞,Degree Centrality,0.4413489736070381
模范,Degree Centrality,0.1441837732160313
指导,Degree Centrality,0.3998044965786901
成长,Degree Centrality,0.2986314760508309
学校,Degree Centrality,0.5288367546432062
培育,Degree Centrality,0.10801564027370479
共产主义,Degree Centrality,0.4364613880742913
响应,Degree Centrality,0.25806451612903225
号召,Degree Centrality,0.4838709677419355
台湾,Degree Centrality,0.187683284457478
支援,Degree Centrality,0.4521016617790811
越南,Degree Centrality,0.6739980449657869
兄弟,Degree Centrality,0.48191593352883677
战争,Degree Centrality,0.5425219941348973
美帝国主义,Degree Centrality,0.6329423264907136
工人,Degree Centrality,0.6940371456500489
心情,Degree Centrality,0.3343108504398827
激动,Degree Centrality,0.3255131964809384
兴奋,Degree Centrality,0.22776148582600195
会见,Degree Centrality,0.20869990224828935
队伍,Degree Centrality,0.4046920821114369
来到,Degree Centrality,0.38465298142717497
全厂,Degree Centrality,0.17302052785923755
职工,Degree Centrality,0.5332355816226784
主持,Degree Centrality,0.1705767350928641
制定,Degree Centrality,0.2458455522971652
力量,Degree Centrality,0.6295210166177908
运动,Degree Centrality,0.6319648093841642
树立,Degree Centrality,0.3489736070381232
工人阶级,Degree Centrality,0.3543499511241447
事情,Degree Centrality,0.47214076246334313
发出,Degree Centrality,0.3519061583577713
纲领,Degree Centrality,0.19403714565004887
努力,Degree Centrality,0.5249266862170088
决心,Degree Centrality,0.5474095796676441
文化,Degree Centrality,0.5987292277614858
生产,Degree Centrality,0.6989247311827957
实际行动,Degree Centrality,0.19257086999022482
目的,Degree Centrality,0.5004887585532747
电据,Degree Centrality,0.09579667644183773
通讯社,Degree Centrality,0.22287390029325513
报道,Degree Centrality,0.45161290322580644
连续,Degree Centrality,0.3655913978494624
进攻,Degree Centrality,0.3704789833822092
伪军,Degree Centrality,0.2233626588465298
敌军,Degree Centrality,0.14516129032258066
袭击,Degree Centrality,0.2536656891495601
美国,Degree Centrality,0.7302052785923754
武器,Degree Centrality,0.4995112414467253
基地,Degree Centrality,0.30547409579667645
敌人,Degree Centrality,0.6041055718475073
发动,Degree Centrality,0.4257086999022483
攻击,Degree Centrality,0.38758553274682306
系统,Degree Centrality,0.20430107526881722
展开,Degree Centrality,0.3885630498533724
予以,Degree Centrality,0.1241446725317693
占领,Degree Centrality,0.24486803519061584
阵地,Degree Centrality,0.31915933528836754
汽车,Degree Centrality,0.3020527859237537
侵略者,Degree Centrality,0.4095796676441838
飞机,Degree Centrality,0.3533724340175953
英勇,Degree Centrality,0.3597262952101662
战士,Degree Centrality,0.6182795698924731
混乱,Degree Centrality,0.13636363636363635
沉重,Degree Centrality,0.18475073313782991
打击,Degree Centrality,0.3895405669599218
损失,Degree Centrality,0.22678396871945258
地方,Degree Centrality,0.6256109481915934
承认,Degree Centrality,0.3778103616813294
地向,Degree Centrality,0.27174975562072334
士兵,Degree Centrality,0.17790811339198437
激烈,Degree Centrality,0.29178885630498536
公路,Degree Centrality,0.17497556207233628
全世界,Degree Centrality,0.46725317693059626
反帝,Degree Centrality,0.36608015640273706
高涨,Degree Centrality,0.20087976539589442
感到,Degree Centrality,0.5283479960899315
无比,Degree Centrality,0.3098729227761486
武装,Degree Centrality,0.5127077223851417
红旗,Degree Centrality,0.4389051808406647
粉碎,Degree Centrality,0.32209188660801563
创造,Degree Centrality,0.4726295210166178
理想,Degree Centrality,0.21945259042033236
重庆,Degree Centrality,0.0718475073313783
利润,Degree Centrality,0.1598240469208211
妄图,Degree Centrality,0.3093841642228739
经济,Degree Centrality,0.5591397849462365
脱离,Degree Centrality,0.2072336265884653
轨道,Degree Centrality,0.10117302052785923
阴谋,Degree Centrality,0.4447702834799609
老工人,Degree Centrality,0.21945259042033236
旧社会,Degree Centrality,0.27712609970674484
资本家,Degree Centrality,0.1656891495601173
企业,Degree Centrality,0.4149560117302053
追求,Degree Centrality,0.15835777126099707
不顾,Degree Centrality,0.2673509286412512
欺骗,Degree Centrality,0.26832844574780057
社会,Degree Centrality,0.4887585532746823
主人,Degree Centrality,0.218475073313783
决不能,Degree Centrality,0.26344086021505375
道路,Degree Centrality,0.5679374389051809
才能,Degree Centrality,0.532258064516129
方向,Degree Centrality,0.4237536656891496
农业,Degree Centrality,0.5259042033235581
人口,Degree Centrality,0.2130987292277615
农民,Degree Centrality,0.6270772238514174
情况,Degree Centrality,0.7033235581622679
发展,Degree Centrality,0.7429130009775171
政权,Degree Centrality,0.3621700879765396
关系,Degree Centrality,0.5513196480938416
极大,Degree Centrality,0.37487781036168133
遵照,Degree Centrality,0.18670576735092864
服务,Degree Centrality,0.592375366568915
产品质量,Degree Centrality,0.09530791788856305
工业,Degree Centrality,0.39296187683284456
产品,Degree Centrality,0.2956989247311828
关怀,Degree Centrality,0.26050830889540566
农村,Degree Centrality,0.5195503421309873
带来,Degree Centrality,0.3343108504398827
幸福,Degree Centrality,0.3172043010752688
设计,Degree Centrality,0.3020527859237537
制造,Degree Centrality,0.4340175953079179
很大,Degree Centrality,0.5087976539589443
基础,Degree Centrality,0.48484848484848486
破坏,Degree Centrality,0.4501466275659824
专政,Degree Centrality,0.27712609970674484
厂里,Degree Centrality,0.13929618768328444
技术,Degree Centrality,0.5283479960899315
下乡,Degree Centrality,0.17595307917888564
鼓吹,Degree Centrality,0.27468230694037143
保卫,Degree Centrality,0.3778103616813294
商店,Degree Centrality,0.2126099706744868
街道,Degree Centrality,0.15591397849462366
资产阶级,Degree Centrality,0.5434995112414467
今天下午,Degree Centrality,0.16959921798631475
谈话,Degree Centrality,0.2859237536656892
外交部,Degree Centrality,0.20576735092864126
日本,Degree Centrality,0.6070381231671554
科学家,Degree Centrality,0.26881720430107525
代表团,Degree Centrality,0.4946236559139785
团长,Degree Centrality,0.2854349951124145
宴会,Degree Centrality,0.16911045943304007
发表,Degree Centrality,0.5087976539589443
讲话,Degree Centrality,0.43743890518084066
友谊,Degree Centrality,0.39296187683284456
作出,Degree Centrality,0.47751710654936463
贡献,Degree Centrality,0.41055718475073316
团结,Degree Centrality,0.5034213098729228
回国,Degree Centrality,0.23264907135874877
告诉,Degree Centrality,0.42668621700879766
科学,Degree Centrality,0.4208211143695015
成员,Degree Centrality,0.2961876832844575
负责人,Degree Centrality,0.33528836754643204
