token,total_count,pos
妇女,890167,n
女子,252311,n
母亲,234396,n
姑娘,167737,n
女儿,153111,n
妻子,141064,n
妈妈,118755,n
女工,86038,n
女士,57494,n
女性,51692,n
大娘,50169,n
全国妇联,48147,nt
老太太,41614,nr
女人,40606,n
姐妹,37357,n
夫妻,35563,n
大姐,34749,n
女排,33906,n
老婆,31714,n
老大娘,30907,nr
妹妹,29317,n
媳妇,29211,n
姐姐,29116,n
婆婆,28173,n
少女,27173,n
奶奶,26610,n
女队,26032,n
小姐,25992,nr
姊妹,25834,n
女孩,25050,n
中国女排,23486,nt
家庭妇女,19397,n
小姑娘,19025,nr
女职工,17767,n
农村妇女,17567,n
女王,16890,n
白毛女,16790,nr
世界妇女大会,16540,nt
妇女干部,16185,n
女篮,16031,n
产妇,15195,n
女孩子,15074,n
阿姨,14848,nr
大妈,14189,n
中国女队,14004,nt
孕妇,13764,n
女选手,13684,n
大嫂,13669,n
闺女,12885,n
娘子军,12132,n
中华儿女,11948,n
小女孩,11650,n
女足,11441,n
女单,10854,n
老妈妈,10516,nr
女方,10130,n
娘家,10051,n
女生,9931,n
妇女组织,9716,n
女将,9709,n
太太,9482,n
妇幼保健,9334,n
女作家,9184,n
新娘,9066,n
女子组,8894,n
母校,8485,n
阿庆嫂,8461,nr
阿妈,8329,nr
女演员,8244,n
女战士,8034,nz
中国女篮,7954,nt
寡妇,7784,n
妇产科,7686,n
孙女,7644,nr
中年妇女,7213,n
女士们,7009,n
家庭主妇,6874,n
妹子,6736,n
祖母,6719,nr
小女儿,6662,nr
农妇,6636,n
老奶奶,6524,n
老太婆,6498,nr
女主人,6376,n
母亲河,6256,nr
女英雄,6209,nr
圣母,6084,n
中国女足,5972,nt
红娘,5910,n
女神,5881,n
女童,5788,n
下岗女工,5762,n
儿媳妇,5722,n
女兵,5711,n
妇女地位,5638,n
嫂子,5488,n
父母亲,5435,n
母女,5354,n
女同学,5239,n
未婚妻,5199,n
英国女王,5135,nz
妓女,5071,n
